name,lang/0,lang/1,lang/2,lang/3,lang/4
abstract,C#,PHP,J,,
alias,Ruby,,,,
and,PHP,PythonRuby,,,
array(),PHP,,,,
as,C#,PHP,Python,,
assert,Java,Python,,,
async,Python,,,,
await,Python,,,,
base,C#,,,,
bool,C#,PHP,,,
boolean,Java,,,,
break,C#,J,JavaScript,PHP,PythonRuby
byte,C#,J,,,
callable,PHP,,,,
case,C#,J,JavaScript,PHPRuby,
catch,C#,J,JavaScript,PHP,
char,C#,J,,,
checked,C#,,,,
class,C#,J,JavaScript,PHP,PythonRuby
clone,PHP,,,,
const,C#,J,PHP,,
continue,C#,J,JavaScript,PHP,Python
debugger,JavaScript,,,,
decimal,C#,,,,
declare,PHP,,,,
def,PythonRuby,,,,
default,C#,J,JavaScript,PHP,
defined?,Ruby,,,,
del,Python,,,,
delegate,C#,,,,
delete,JavaScript,,,,
die(),PHP,,,,
do,C#,J,JavaScript,PHPRuby,
double,C#,J,,,
echo,PHP,,,,
elif,Python,,,,
else,C#,J,JavaScript,PHP,PythonRuby
elseif,PHP,,,,
elsif,Ruby,,,,
empty(),PHP,,,,
enddeclare,PHP,,,,
endfor,PHP,,,,
endforeach,PHP,,,,
endif,PHP,,,,
endswitch,PHP,,,,
endwhile,PHP,,,,
ensure,Ruby,,,,
enum,C#,J,JavaScript,,
eval(),PHP,,,,
event,C#,,,,
except,Python,,,,
exit(),PHP,,,,
explicit,C#,,,,
export,JavaScript,,,,
extends,Java,JavaScript,PHP,,
extern,C#,,,,
false,C#,JavaScript,PHPRuby,,
final,Java,PHP,,,
finally,C#,J,JavaScript,PHP,Python
fixed,C#,,,,
float,C#,J,PHP,,
for,C#,J,JavaScript,PHP,PythonRuby
foreach,C#,PHP,,,
from,Python,,,,
function,JavaScript,PHP,,,
global,PHP,Python,,,
goto,C#,J,PHP,,
if,C#,J,JavaScript,PHP,PythonRuby
implements,Java,JavaScript,PHP,,
implicit,C#,,,,
import,Java,JavaScript,Python,,
in,#C,JavaScript,PythonRuby,,
include,PHP,,,,
include_once,PHP,,,,
instanceof,Java,JavaScript,PHP,,
insteadof,PHP,,,,
int,C#,J,PHP,,
interface,C#,J,JavaScript,PHP,
internal,C#,,,,
is,C#,Python,,,
isset(),PHP,,,,
iterable,PHP,,,,
lambda,Python,,,,
let,JavaScript,,,,
list(),PHP,,,,
lock,C#,,,,
long,C#,J,,,
module,Ruby,,,,
namespace,C#,PHP,,,
native,Java,,,,
new,C#,J,JavaScript,PHPP,
next,Ruby,,,,
nil,Ruby,,,,
None,Python,,,,
nonlocal,Python,,,,
not,PythonRuby,,,,
null,C#,JavaScript,PHP,,
operator,C#,,,,
or,PHP,PythonRuby,,,
out,C#,,,,
override,C#,,,,
params,C#,,,,
pass,Python,,,,
print,PHP,,,,
private,C#,J,JavaScript,PHP,
protected,C#,J,JavaScript,PHP,
public,C#,J,JavaScript,PHP,
raise,Python,,,,
readonly,C#,,,,
redo,Ruby,,,,
ref,C#,,,,
require,PHP,,,,
require_once,PHP,,,,
rescue,Ruby,,,,
retry,Ruby,,,,
return,C#,J,JavaScript,PHP,PythonRuby
sbyte,C#,,,,
sealed,C#,,,,
self,Ruby,,,,
short,C#,J,,,
sizeof,C#,,,,
stackalloc,C#,,,,
static,C#,J,JavaScript,PHP,
strictfp,Java,,,,
string,C#,PHP,,,
struct,C#,,,,
super,Java,JavaScriptRuby,,,
switch,C#,J,JavaScript,PHP,
synchronized,Java,,,,
then,Ruby,,,,
this,C#,J,JavaScript,,
throw,C#,J,JavaScript,PHP,
throws,Java,,,,
trait,PHP,,,,
transient,Java,,,,
true,C#,JavaScript,PHPRuby,,
try,C#,J,JavaScript,PHP,Python
typeof,C#,JavaScript,,,
uint,C#,,,,
ulong,C#,,,,
unchecked,C#,,,,
undef,Ruby,,,,
unless,Ruby,,,,
unsafe,C#,,,,
unset(),PHP,,,,
until,Ruby,,,,
use,PHP,,,,
ushort,C#,,,,
using,C#,,,,
using static,C#,,,,
var,JavaScript,PHP,,,
virtual,C#,,,,
void,C#,J,JavaScript,PHP,
volatile,C#,J,,,
when,Ruby,,,,
while,C#,J,JavaScript,PHP,PythonRuby
with,JavaScript,Python,,,
xor,PHP,,,,
yield,JavaScript,PHP,PythonRuby,,
yield from,PHP,,,,

